DateTime,Junction,Vehicles,ID,Temperature,Precipitation,Wind Speed,Relative Humidity,Day_Name,Weekend_flag,Event_name,Event_category,Event_flag
01-11-2015 00:00,1,-0.375488754,20151101001,-0.564209417,-0.234701702,-0.645766741,1.155402269,Sunday,1,No Event,No Event,0
01-11-2015 01:00,1,-0.471875007,20151101011,-0.616055529,-0.234701702,-0.735489315,1.210562679,Sunday,1,No Event,No Event,0
01-11-2015 02:00,1,-0.616454387,20151101021,-0.657532418,-0.234701702,-0.811408417,1.230075205,Sunday,1,No Event,No Event,0
01-11-2015 03:00,1,-0.761033767,20151101031,-0.709378529,-0.234701702,-1.011558775,1.273603147,Sunday,1,No Event,No Event,0
01-11-2015 04:00,1,-0.664647514,20151101041,-0.747399011,-0.234701702,-1.121986559,1.298369045,Sunday,1,No Event,No Event,0
01-11-2015 05:00,1,-0.809226894,20151101051,-0.787147696,-0.236055476,-1.177200451,1.32163398,Sunday,1,No Event,No Event,0
01-11-2015 06:00,1,-0.664647514,20151101061,-0.68172727,-0.236055476,-0.645766741,1.163282327,Sunday,1,No Event,No Event,0
01-11-2015 07:00,1,-0.712840641,20151101071,-0.294609638,-0.236055476,-0.169546923,0.649952799,Sunday,1,No Event,No Event,0
01-11-2015 08:00,1,-0.568261261,20151101081,0.208297642,-0.156182811,0.14103122,0.047691182,Sunday,1,No Event,No Event,0
01-11-2015 09:00,1,-0.520068134,20151101091,0.572948626,-0.137229975,0.437805889,-0.286273204,Sunday,1,No Event,No Event,0
01-11-2015 10:00,1,-0.375488754,20151101101,0.78897409,0.094265376,0.582742355,-0.451754433,Sunday,1,No Event,No Event,0
01-11-2015 11:00,1,-0.279102501,20151101111,0.890938109,0.721062729,0.541331936,-0.525301646,Sunday,1,No Event,No Event,0
01-11-2015 12:00,1,-0.327295627,20151101121,0.925502183,0.934959019,0.451609362,-0.550067544,Sunday,1,No Event,No Event,0
01-11-2015 13:00,1,-0.375488754,20151101131,0.927230387,0.727831599,0.334279841,-0.556446639,Sunday,1,No Event,No Event,0
01-11-2015 14:00,1,-0.327295627,20151101141,0.86328685,0.325760727,0.320476368,-0.515170142,Sunday,1,No Event,No Event,0
01-11-2015 15:00,1,-0.520068134,20151101151,0.662815219,0.143001239,0.361886787,-0.376331015,Sunday,1,No Event,No Event,0
01-11-2015 16:00,1,-0.520068134,20151101161,0.382846217,0.175491814,0.320476368,-0.130548237,Sunday,1,No Event,No Event,0
01-11-2015 17:00,1,-0.327295627,20151101171,-0.019825248,0.558609852,-0.286876443,0.363268765,Sunday,1,No Event,No Event,0
01-11-2015 18:00,1,-0.279102501,20151101181,-0.301522453,1.255803453,-0.314483389,0.720873326,Sunday,1,No Event,No Event,0
01-11-2015 19:00,1,-0.134523121,20151101191,-0.467430009,1.48594503,-0.204055605,0.953522674,Sunday,1,No Event,No Event,0
01-11-2015 20:00,1,-0.279102501,20151101201,-0.584947862,1.59830827,-0.238564288,1.148647933,Sunday,1,No Event,No Event,0
01-11-2015 21:00,1,-0.182716248,20151101211,-0.645434992,2.497214194,-0.286876443,1.27060122,Sunday,1,No Event,No Event,0
01-11-2015 22:00,1,-0.134523121,20151101221,-0.659260621,2.762553895,-0.266171234,1.322759703,Sunday,1,No Event,No Event,0
01-11-2015 23:00,1,-0.375488754,20151101231,-0.659260621,3.199822891,-0.252367761,1.336643615,Sunday,1,No Event,No Event,0
